"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","fdr"
"REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND",1,1,0,16,485,19531,1
"REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION",1,1,0,5,485,19542,1
"REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION",1,1,0,23,485,19524,1
"REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS",1,1,0,21,485,19526,1
"REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT",1,1,0,177,485,19370,1
"REACTOME_REGULATION_OF_SIGNALING_BY_NODAL",1,1,0,11,485,19536,1
"REACTOME_ALPHA_DEFENSINS",1,1,0,10,485,19537,1
"REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION",1,1,0,10,485,19537,1
"REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE",1,1,0,12,485,19535,1
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",1,1,0,27,485,19520,1
"REACTOME_ACYL_CHAIN_REMODELING_OF_CL",1,1,0,6,485,19541,1
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS",1,1,0,22,485,19525,1
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",1,1,0,29,485,19518,1
"REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG",1,1,0,7,485,19540,1
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI",1,1,0,17,485,19530,1
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PG",1,1,0,18,485,19529,1
"REACTOME_HYDROLYSIS_OF_LPC",1,1,0,9,485,19538,1
"REACTOME_SYNTHESIS_OF_PG",1,1,0,8,485,19539,1
"REACTOME_SYNTHESIS_OF_PA",1,1,0,39,485,19508,1
"REACTOME_SYNTHESIS_OF_PC",1,1,0,28,485,19519,1
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS",1,1,0,128,485,19419,1
"REACTOME_SYNTHESIS_OF_PE",1,1,0,13,485,19534,1
"REACTOME_SYNTHESIS_OF_PI",1,1,0,5,485,19542,1
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE",1,1,0,4,485,19543,1
"REACTOME_G0_AND_EARLY_G1",1,1,0,27,485,19520,1
"REACTOME_AMINO_ACID_CONJUGATION",1,1,0,9,485,19538,1
"REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS",1,1,0,16,485,19531,1
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",1,1,0,94,485,19453,1
"REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA",1,1,0,36,485,19511,1
"REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS",1,1,0,43,485,19504,1
"REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS",1,1,0,16,485,19531,1
"REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS",1,1,0,10,485,19537,1
"REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS",1,1,0,11,485,19536,1
"REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS",1,1,0,21,485,19526,1
"REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN",1,1,0,5,485,19542,1
"REACTOME_SULFIDE_OXIDATION_TO_SULFATE",1,1,0,6,485,19541,1
"REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE",1,1,0,14,485,19533,1
"REACTOME_SULFUR_AMINO_ACID_METABOLISM",1,1,0,28,485,19519,1
"REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION",1,1,0,28,485,19519,1
"REACTOME_INTEGRATION_OF_PROVIRUS",1,1,0,9,485,19538,1
"REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION",1,1,0,14,485,19533,1
"REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI",1,1,0,18,485,19529,1
"REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR",1,1,0,7,485,19540,1
"REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS",1,1,0,131,485,19416,1
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS",1,1,0,127,485,19420,1
"REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING",1,1,0,18,485,19529,1
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS",1,1,0,5,485,19542,1
"REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION",1,1,0,33,485,19514,1
"REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY",1,1,0,8,485,19539,1
"REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION",1,1,0,8,485,19539,1
"REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS",1,1,0,7,485,19540,1
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM",1,1,0,34,485,19513,1
"REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING",1,1,0,17,485,19530,1
"REACTOME_2_LTR_CIRCLE_FORMATION",1,1,0,7,485,19540,1
"REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS",1,1,0,21,485,19526,1
"REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION",1,1,0,10,485,19537,1
"REACTOME_NEF_AND_SIGNAL_TRANSDUCTION",1,1,0,8,485,19539,1
"REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS",1,1,0,28,485,19519,1
"REACTOME_MTOR_SIGNALLING",1,1,0,41,485,19506,1
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF",1,1,0,55,485,19492,1
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE",1,1,0,17,485,19530,1
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE",1,1,0,11,485,19536,1
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",1,1,0,45,485,19502,1
"REACTOME_MITOCHONDRIAL_UNCOUPLING",1,1,0,6,485,19541,1
"REACTOME_MTORC1_MEDIATED_SIGNALLING",1,1,0,24,485,19523,1
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES",1,1,0,13,485,19534,1
"REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION",1,1,0,8,485,19539,1
"REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT",1,1,0,8,485,19539,1
"REACTOME_SIGNALLING_TO_RAS",1,1,0,20,485,19527,1
"REACTOME_HIV_TRANSCRIPTION_ELONGATION",1,1,0,43,485,19504,1
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",1,1,0,23,485,19524,1
"REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY",1,1,0,33,485,19514,1
"REACTOME_NEF_MEDIATED_CD4_DOWN_REGULATION",1,1,0,9,485,19538,1
"REACTOME_THE_FATTY_ACID_CYCLING_MODEL",1,1,0,5,485,19542,1
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR",1,1,0,13,485,19534,1
"REACTOME_INFLUENZA_INFECTION",1,1,0,157,485,19390,1
"REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS",1,1,0,33,485,19514,1
"REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS",1,1,0,41,485,19506,1
"REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS",1,1,0,44,485,19503,1
"REACTOME_NOD1_2_SIGNALING_PATHWAY",1,1,0,36,485,19511,1
"REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS",1,1,0,56,485,19491,1
"REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT",1,1,0,19,485,19528,1
"REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS",1,1,0,14,485,19533,1
"REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY",1,1,0,10,485,19537,1
"REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN",1,1,0,32,485,19515,1
"REACTOME_ARMS_MEDIATED_ACTIVATION",1,1,0,7,485,19540,1
"REACTOME_P38MAPK_EVENTS",1,1,0,13,485,19534,1
"REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE",1,1,0,23,485,19524,1
"REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION",1,1,0,5,485,19542,1
"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B",1,1,0,24,485,19523,1
"REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",1,1,0,88,485,19459,1
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",1,1,0,74,485,19473,1
"REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS",1,1,0,6,485,19541,1
"REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE",1,1,0,26,485,19521,1
"REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE",1,1,0,19,485,19528,1
"REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS",1,1,0,34,485,19513,1
"REACTOME_TELOMERE_C_STRAND_SYNTHESIS_INITIATION",1,1,0,13,485,19534,1
"REACTOME_ACTIVATION_OF_C3_AND_C5",1,1,0,7,485,19540,1
"REACTOME_ASSEMBLY_OF_THE_HIV_VIRION",1,1,0,16,485,19531,1
"REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS",1,1,0,37,485,19510,1
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",1,1,0,37,485,19510,1
"REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE",1,1,0,20,485,19527,1
"REACTOME_PHOSPHORYLATION_OF_THE_APC_C",1,1,0,20,485,19527,1
"REACTOME_PHOSPHORYLATION_OF_EMI1",1,1,0,6,485,19541,1
"REACTOME_UNWINDING_OF_DNA",1,1,0,12,485,19535,1
"REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE",1,1,0,6,485,19541,1
"REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS",1,1,0,37,485,19510,1
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING",1,1,0,14,485,19533,1
"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A",1,1,0,26,485,19521,1
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",1,1,0,113,485,19434,1
"REACTOME_DARPP_32_EVENTS",1,1,0,24,485,19523,1
"REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION",1,1,0,5,485,19542,1
"REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN",1,1,0,34,485,19513,1
"REACTOME_EXTENSION_OF_TELOMERES",1,1,0,51,485,19496,1
"REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1",1,1,0,17,485,19530,1
"REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS",1,1,0,14,485,19533,1
"REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION",1,1,0,7,485,19540,1
"REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES",1,1,0,16,485,19531,1
"REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA",1,1,0,63,485,19484,1
"REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS",1,1,0,17,485,19530,1
"REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION",1,1,0,30,485,19517,1
"REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION",1,1,0,33,485,19514,1
"REACTOME_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL",1,1,0,10,485,19537,1
"REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION",1,1,0,29,485,19518,1
"REACTOME_SIGNALING_BY_PDGF",1,1,0,58,485,19489,1
"REACTOME_SIGNALLING_TO_ERKS",1,1,0,34,485,19513,1
"REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN",1,1,0,5,485,19542,1
"REACTOME_METABOLISM_OF_PORPHYRINS",1,1,0,27,485,19520,1
"REACTOME_HEME_BIOSYNTHESIS",1,1,0,14,485,19533,1
"REACTOME_HEME_DEGRADATION",1,1,0,15,485,19532,1
"REACTOME_SIGNALING_BY_FGFR",1,1,0,86,485,19461,1
"REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION",1,1,0,13,485,19534,1
"REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION",1,1,0,20,485,19527,1
"REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION",1,1,0,16,485,19531,1
"REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION",1,1,0,6,485,19541,1
"REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION",1,1,0,7,485,19540,1
"REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION",1,1,0,12,485,19535,1
"REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION",1,1,0,13,485,19534,1
"REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION",1,1,0,10,485,19537,1
"REACTOME_PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM",1,1,0,6,485,19541,1
"REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI",1,1,0,18,485,19529,1
"REACTOME_CHOLESTEROL_BIOSYNTHESIS",1,1,0,25,485,19522,1
"REACTOME_SNRNP_ASSEMBLY",1,1,0,54,485,19493,1
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS",1,1,0,34,485,19513,1
"REACTOME_DIGESTION_OF_DIETARY_LIPID",1,1,0,6,485,19541,1
"REACTOME_ESTROGEN_BIOSYNTHESIS",1,1,0,6,485,19541,1
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",1,1,0,24,485,19523,1
"REACTOME_P75NTR_SIGNALS_VIA_NF_KB",1,1,0,16,485,19531,1
"REACTOME_P75NTR_NEGATIVELY_REGULATES_CELL_CYCLE_VIA_SC1",1,1,0,6,485,19541,1
"REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR",1,1,0,11,485,19536,1
"REACTOME_P75NTR_REGULATES_AXONOGENESIS",1,1,0,10,485,19537,1
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL",1,1,0,14,485,19533,1
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL",1,1,0,15,485,19532,1
"REACTOME_MINERALOCORTICOID_BIOSYNTHESIS",1,1,0,6,485,19541,1
"REACTOME_GLUCOCORTICOID_BIOSYNTHESIS",1,1,0,10,485,19537,1
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",1,1,0,43,485,19504,1
"REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS",1,1,0,7,485,19540,1
"REACTOME_PREGNENOLONE_BIOSYNTHESIS",1,1,0,12,485,19535,1
"REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE",1,1,0,17,485,19530,1
"REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM",1,1,0,21,485,19526,1
"REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM",1,1,0,11,485,19536,1
"REACTOME_COENZYME_A_BIOSYNTHESIS",1,1,0,8,485,19539,1
"REACTOME_NICOTINATE_METABOLISM",1,1,0,31,485,19516,1
"REACTOME_VITAMIN_B1_THIAMIN_METABOLISM",1,1,0,5,485,19542,1
"REACTOME_VITAMIN_B2_RIBOFLAVIN_METABOLISM",1,1,0,7,485,19540,1
"REACTOME_NICOTINAMIDE_SALVAGING",1,1,0,19,485,19528,1
"REACTOME_PI3K_AKT_ACTIVATION",1,1,0,9,485,19538,1
"REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL",1,1,0,14,485,19533,1
"REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM",1,1,0,17,485,19530,1
"REACTOME_CREB_PHOSPHORYLATION",1,1,0,7,485,19540,1
"REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING",1,1,0,72,485,19475,1
"REACTOME_CARNITINE_METABOLISM",1,1,0,14,485,19533,1
"REACTOME_WNT_MEDIATED_ACTIVATION_OF_DVL",1,1,0,8,485,19539,1
"REACTOME_G_PROTEIN_ACTIVATION",1,1,0,24,485,19523,1
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS",1,1,0,28,485,19519,1
"REACTOME_KERATAN_SULFATE_DEGRADATION",1,1,0,13,485,19534,1
"REACTOME_HS_GAG_BIOSYNTHESIS",1,1,0,31,485,19516,1
"REACTOME_CALCINEURIN_ACTIVATES_NFAT",1,1,0,9,485,19538,1
"REACTOME_SIGNALING_BY_HIPPO",1,1,0,20,485,19527,1
"REACTOME_MICRORNA_MIRNA_BIOGENESIS",1,1,0,24,485,19523,1
"REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX",1,1,0,16,485,19531,1
"REACTOME_NADE_MODULATES_DEATH_SIGNALLING",1,1,0,6,485,19541,1
"REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS",1,1,0,16,485,19531,1
"REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES",1,1,0,13,485,19534,1
"REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL",1,1,0,13,485,19534,1
"REACTOME_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS",1,1,0,5,485,19542,1
"REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS",1,1,0,16,485,19531,1
"REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS",1,1,0,5,485,19542,1
"REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS",1,1,0,8,485,19539,1
"REACTOME_PECAM1_INTERACTIONS",1,1,0,12,485,19535,1
"REACTOME_TIE2_SIGNALING",1,1,0,18,485,19529,1
"REACTOME_VITAMINS",1,1,0,6,485,19541,1
"REACTOME_FATTY_ACIDS",1,1,0,15,485,19532,1
"REACTOME_MISCELLANEOUS_SUBSTRATES",1,1,0,12,485,19535,1
"REACTOME_EICOSANOIDS",1,1,0,12,485,19535,1
"REACTOME_CYP2E1_REACTIONS",1,1,0,11,485,19536,1
"REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET",1,1,0,8,485,19539,1
"REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS",1,1,0,8,485,19539,1
"REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX",1,1,0,21,485,19526,1
"REACTOME_SYNTHESIS_OF_LIPOXINS_LX",1,1,0,6,485,19541,1
"REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES",1,1,0,6,485,19541,1
"REACTOME_ARACHIDONIC_ACID_METABOLISM",1,1,0,58,485,19489,1
"REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES",1,1,0,5,485,19542,1
"REACTOME_UBIQUINOL_BIOSYNTHESIS",1,1,0,8,485,19539,1
"REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE",1,1,0,9,485,19538,1
"REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION",1,1,0,10,485,19537,1
"REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION",1,1,0,12,485,19535,1
"REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT",1,1,0,5,485,19542,1
"REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM",1,1,0,10,485,19537,1
"REACTOME_ABACAVIR_METABOLISM",1,1,0,5,485,19542,1
"REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX",1,1,0,15,485,19532,1
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION",1,1,0,16,485,19531,1
"REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY",1,1,0,23,485,19524,1
"REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION",1,1,0,7,485,19540,1
"REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",1,1,0,12,485,19535,1
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",1,1,0,18,485,19529,1
"REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NUDT_PROTEINS",1,1,0,7,485,19540,1
"REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R",1,1,0,54,485,19493,1
"REACTOME_DAP12_SIGNALING",1,1,0,29,485,19518,1
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",1,1,0,42,485,19505,1
"REACTOME_SHC_RELATED_EVENTS_TRIGGERED_BY_IGF1R",1,1,0,9,485,19538,1
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",1,1,0,130,485,19417,1
"REACTOME_MASTL_FACILITATES_MITOTIC_PROGRESSION",1,1,0,10,485,19537,1
"REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION",1,1,0,11,485,19536,1
"REACTOME_COHESIN_LOADING_ONTO_CHROMATIN",1,1,0,10,485,19537,1
"REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE",1,1,0,11,485,19536,1
"REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES",1,1,0,11,485,19536,1
"REACTOME_THE_PHOTOTRANSDUCTION_CASCADE",1,1,0,34,485,19513,1
"REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA",1,1,0,11,485,19536,1
"REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF",1,1,0,17,485,19530,1
"REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH",1,1,0,9,485,19538,1
"REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY",1,1,0,13,485,19534,1
"REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION",1,1,0,86,485,19461,1
"REACTOME_SIGNALING_BY_LEPTIN",1,1,0,11,485,19536,1
"REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER",1,1,0,5,485,19542,1
"REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS",1,1,0,12,485,19535,1
"REACTOME_SIGNALING_BY_NOTCH1_T_7_9_NOTCH1_M1580_K2555_TRANSLOCATION_MUTANT",1,1,0,7,485,19540,1
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",1,1,0,16,485,19531,1
"REACTOME_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE",1,1,0,5,485,19542,1
"REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION",1,1,0,31,485,19516,1
"REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION",1,1,0,31,485,19516,1
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",1,1,0,81,485,19466,1
"REACTOME_POU5F1_OCT4_SOX2_NANOG_REPRESS_GENES_RELATED_TO_DIFFERENTIATION",1,1,0,10,485,19537,1
"REACTOME_POU5F1_OCT4_SOX2_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION",1,1,0,13,485,19534,1
"REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN",1,1,0,53,485,19494,1
"REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7",1,1,0,7,485,19540,1
"REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION",1,1,0,19,485,19528,1
"REACTOME_SYNDECAN_INTERACTIONS",1,1,0,27,485,19520,1
"REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS",1,1,0,19,485,19528,1
"REACTOME_SCAVENGING_BY_CLASS_F_RECEPTORS",1,1,0,6,485,19541,1
"REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1",1,1,0,5,485,19542,1
"REACTOME_SUMO_IS_TRANSFERRED_FROM_E1_TO_E2_UBE2I_UBC9",1,1,0,7,485,19540,1
"REACTOME_SUMO_IS_PROTEOLYTICALLY_PROCESSED",1,1,0,6,485,19541,1
"REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS",1,1,0,77,485,19470,1
"REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION",1,1,0,7,485,19540,1
"REACTOME_LRR_FLII_INTERACTING_PROTEIN_1_LRRFIP1_ACTIVATES_TYPE_I_IFN_PRODUCTION",1,1,0,5,485,19542,1
"REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA",1,1,0,15,485,19532,1
"REACTOME_HDMS_DEMETHYLATE_HISTONES",1,1,0,50,485,19497,1
"REACTOME_PROCESSING_AND_ACTIVATION_OF_SUMO",1,1,0,10,485,19537,1
